"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"88","1995","11","Tamil Nadu","Tiruchirapalli Trichy","36.72","7.42","15.43","59.3","72.24","34.39","53.56","125.37","64.49","141.84","68.1","4.33"
"88","1996","11","Tamil Nadu","Tiruchirapalli Trichy","13.3","8.98","4.68","67.84","32.41","50.81","41.96","80.74","110.0","143.17","58.36","81.98"
"88","1997","11","Tamil Nadu","Tiruchirapalli Trichy","8.62","0.06","17.72","51.13","37.66","32.97","56.93","76.51","82.88","299.64","232.79","98.55"
"88","1998","11","Tamil Nadu","Tiruchirapalli Trichy","12.7","2.04","1.49","26.77","93.86","16.09","83.8","158.58","84.8","182.95","142.6","169.49"
"88","1999","11","Tamil Nadu","Tiruchirapalli Trichy","11.02","19.03","2.75","62.15","64.62","26.66","31.03","50.6","77.39","259.54","118.1","34.27"
"88","2000","11","Tamil Nadu","Tiruchirapalli Trichy","22.89","25.82","1.97","57.91","48.2","20.61","37.06","182.35","211.15","165.36","118.3","76.72"
"88","2001","11","Tamil Nadu","Tiruchirapalli Trichy","34.95","5.55","0.88","106.29","22.55","31.23","76.76","66.46","83.17","211.15","82.57","63.83"
"88","2002","11","Tamil Nadu","Tiruchirapalli Trichy","13.19","4.76","5.04","16.35","69.52","36.66","16.72","43.41","68.35","305.2","136.81","39.05"
"88","2003","11","Tamil Nadu","Tiruchirapalli Trichy","8.73","13.27","13.22","58.94","60.44","35.24","88.37","153.81","54.8","209.73","120.04","8.98"
"88","2004","11","Tamil Nadu","Tiruchirapalli Trichy","14.63","11.14","6.78","40.05","153.61","49.04","60.72","54.4","290.62","236.9","87.11","34.86"
"88","2005","11","Tamil Nadu","Tiruchirapalli Trichy","22.55","6.73","6.49","81.29","51.59","16.31","65.59","54.75","62.4","257.58","160.47","89.98"
"88","2006","11","Tamil Nadu","Tiruchirapalli Trichy","26.37","1.58","71.34","35.18","38.27","26.21","31.45","66.06","82.42","329.59","133.42","7.12"
"88","2007","11","Tamil Nadu","Tiruchirapalli Trichy","12.45","12.66","1.57","71.15","67.65","29.52","94.55","106.25","102.15","238.35","81.49","76.62"
"88","2008","11","Tamil Nadu","Tiruchirapalli Trichy","12.14","26.11","71.96","45.15","20.12","44.64","64.85","283.93","60.57","276.56","161.56","71.75"
"88","2009","11","Tamil Nadu","Tiruchirapalli Trichy","9.67","0.57","31.65","49.01","56.61","37.8","25.63","150.94","85.54","83.73","197.87","88.43"
"88","2010","11","Tamil Nadu","Tiruchirapalli Trichy","17.16","0.8","1.96","40.35","44.14","28.68","123.86","81.19","254.92","227.08","200.67","81.56"
"88","2011","11","Tamil Nadu","Tiruchirapalli Trichy","16.8","37.69","0.84","87.92","30.55","20.17","49.79","94.84","66.71","187.85","146.31","84.11"
"88","2012","11","Tamil Nadu","Tiruchirapalli Trichy","12.79","4.38","6.41","34.07","20.93","8.62","26.86","70.36","97.85","217.87","101.76","65.45"
"88","2013","11","Tamil Nadu","Tiruchirapalli Trichy","12.56","31.27","44.2","7.87","65.22","39.31","52.88","74.44","74.67","126.88","119.23","51.88"
"88","2014","11","Tamil Nadu","Tiruchirapalli Trichy","16.69","6.93","4.02","18.78","84.27","34.9","44.45","66.83","128.66","336.15","55.6","46.37"
"88","2015","11","Tamil Nadu","Tiruchirapalli Trichy","19.26","8.91","20.66","98.75","116.29","29.14","63.36","119.76","209.41","170.44","214.55","67.31"
"89","1990","11","Tamil Nadu","Thanjavur","154.77","4.35","21.69","6.42","75.96","56.08","35.93","56.01","77.33","302.58","163.09","127.81"
"89","1991","11","Tamil Nadu","Thanjavur","47.09","15.15","12.16","45.67","27.19","52.98","36.7","97.76","63.43","233.75","274.72","41.68"
"89","1992","11","Tamil Nadu","Thanjavur","10.73","0.0","0.0","12.88","61.97","31.79","49.91","144.72","88.44","116.61","309.07","89.33"
