"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)"
"92","2014","11","Tamil Nadu","Thirunelveli","84.82"
"92","2015","11","Tamil Nadu","Thirunelveli","98.51"
"92","2016","11","Tamil Nadu","Thirunelveli","29.88"
"93","1990","11","Tamil Nadu","The Nilgiris","0.16"
"93","1991","11","Tamil Nadu","The Nilgiris","0.16"
"93","1992","11","Tamil Nadu","The Nilgiris","0.14"
"93","1993","11","Tamil Nadu","The Nilgiris","0.12"
"93","1994","11","Tamil Nadu","The Nilgiris","0.1"
"93","1995","11","Tamil Nadu","The Nilgiris","0.11"
"93","1996","11","Tamil Nadu","The Nilgiris","0.15"
"93","1997","11","Tamil Nadu","The Nilgiris","0.21"
"93","1998","11","Tamil Nadu","The Nilgiris","0.03"
"93","1999","11","Tamil Nadu","The Nilgiris","0.04"
"93","2000","11","Tamil Nadu","The Nilgiris","0.04"
"93","2001","11","Tamil Nadu","The Nilgiris","0.12"
"93","2002","11","Tamil Nadu","The Nilgiris","0.01"
"93","2003","11","Tamil Nadu","The Nilgiris","0.01"
"93","2004","11","Tamil Nadu","The Nilgiris","0.01"
"93","2005","11","Tamil Nadu","The Nilgiris","0.0"
"93","2006","11","Tamil Nadu","The Nilgiris","0.0"
"93","2007","11","Tamil Nadu","The Nilgiris","0.01"
"93","2008","11","Tamil Nadu","The Nilgiris","0.0"
"93","2009","11","Tamil Nadu","The Nilgiris","0.04"
"93","2010","11","Tamil Nadu","The Nilgiris","0.01"
"93","2011","11","Tamil Nadu","The Nilgiris","0.01"
"93","2012","11","Tamil Nadu","The Nilgiris","0.0"
"93","2013","11","Tamil Nadu","The Nilgiris","0.0"
"93","2014","11","Tamil Nadu","The Nilgiris","0.03"
"93","2015","11","Tamil Nadu","The Nilgiris","0.0"
"93","2016","11","Tamil Nadu","The Nilgiris","-1.0"
"94","1990","11","Tamil Nadu","Kanyakumari","41.23"
"94","1991","11","Tamil Nadu","Kanyakumari","40.57"
"94","1992","11","Tamil Nadu","Kanyakumari","38.79"
"94","1993","11","Tamil Nadu","Kanyakumari","38.54"
"94","1994","11","Tamil Nadu","Kanyakumari","37.57"
"94","1995","11","Tamil Nadu","Kanyakumari","36.02"
"94","1996","11","Tamil Nadu","Kanyakumari","33.66"
"94","1997","11","Tamil Nadu","Kanyakumari","31.24"
"94","1998","11","Tamil Nadu","Kanyakumari","32.0"
"94","1999","11","Tamil Nadu","Kanyakumari","31.48"
"94","2000","11","Tamil Nadu","Kanyakumari","28.59"
"94","2001","11","Tamil Nadu","Kanyakumari","28.23"
"94","2002","11","Tamil Nadu","Kanyakumari","26.05"
"94","2003","11","Tamil Nadu","Kanyakumari","17.32"
"94","2004","11","Tamil Nadu","Kanyakumari","22.02"
"94","2005","11","Tamil Nadu","Kanyakumari","21.71"
"94","2006","11","Tamil Nadu","Kanyakumari","21.41"
"94","2007","11","Tamil Nadu","Kanyakumari","20.35"
"94","2008","11","Tamil Nadu","Kanyakumari","18.19"
"94","2009","11","Tamil Nadu","Kanyakumari","17.31"
"94","2010","11","Tamil Nadu","Kanyakumari","16.99"
"94","2011","11","Tamil Nadu","Kanyakumari","16.62"
"94","2012","11","Tamil Nadu","Kanyakumari","12.41"
"94","2013","11","Tamil Nadu","Kanyakumari","13.62"
"94","2014","11","Tamil Nadu","Kanyakumari","13.18"
"94","2015","11","Tamil Nadu","Kanyakumari","12.96"
"94","2016","11","Tamil Nadu","Kanyakumari","12.16"
"506","1990","11","Tamil Nadu","Dharmapuri","29.84"
"506","1991","11","Tamil Nadu","Dharmapuri","76.45"
"506","1992","11","Tamil Nadu","Dharmapuri","47.35"
"506","1993","11","Tamil Nadu","Dharmapuri","54.81"
"506","1994","11","Tamil Nadu","Dharmapuri","50.99"
"506","1995","11","Tamil Nadu","Dharmapuri","47.51"
"506","1996","11","Tamil Nadu","Dharmapuri","59.15"
"506","1997","11","Tamil Nadu","Dharmapuri","64.28"
"506","1998","11","Tamil Nadu","Dharmapuri","61.94"
"506","1999","11","Tamil Nadu","Dharmapuri","54.86"
"506","2000","11","Tamil Nadu","Dharmapuri","55.9"
"506","2001","11","Tamil Nadu","Dharmapuri","54.32"
"506","2002","11","Tamil Nadu","Dharmapuri","30.15"
"506","2003","11","Tamil Nadu","Dharmapuri","4.37"
"506","2004","11","Tamil Nadu","Dharmapuri","13.81"
