Dist Code,Year,State Code,State Name,Dist Name,JANUARY RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),MAY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),JULY RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters)
88,2011,11,Tamil Nadu,Tiruchirapalli Trichy,1.9,3.2,2.9,78.1,16.7,-1,-1,-1,-1,-1,-1,-1
88,2012,11,Tamil Nadu,Tiruchirapalli Trichy,7.9,8.3,35.9,28,8.9,0,0,0.4,0,198,99,33.4
88,2013,11,Tamil Nadu,Tiruchirapalli Trichy,0.8,5.7,14.4,1.6,42.2,5.4,1.3,83.3,117.9,85.5,127.1,37.7
88,2014,11,Tamil Nadu,Tiruchirapalli Trichy,0,4,0.1,1.2,128.8,13.3,13.4,65.7,50.3,143.5,76.3,39.3
88,2015,11,Tamil Nadu,Tiruchirapalli Trichy,10.2,2,0.4,103.8,107.5,24.9,13.1,56.4,102.9,169.9,209.8,63.5
88,2016,11,Tamil Nadu,Tiruchirapalli Trichy,0,0,1.4,0.8,128.6,33.8,114.6,37.7,24.9,100.9,4,27.8
88,2017,11,Tamil Nadu,Tiruchirapalli Trichy,24.7,0,44.7,3,60.1,18.8,27.2,158,129.7,92.8,68.1,62.8
89,1990,11,Tamil Nadu,Thanjavur,99.5,6.9,55.9,7.8,69.4,13.1,36.2,107.8,167.8,259.6,134.8,106.3
89,1991,11,Tamil Nadu,Thanjavur,54,4,1.2,5.7,0.5,78.9,13.9,60.2,100.8,240.5,442.3,76.3
89,1992,11,Tamil Nadu,Thanjavur,1.6,0,0,11.5,41,56.8,63.8,36.4,156.1,125.8,415.9,100.5
89,1993,11,Tamil Nadu,Thanjavur,0,0,6.3,0.5,15.4,46.1,71.8,55,59.1,307.9,600.4,347.5
89,1994,11,Tamil Nadu,Thanjavur,2.2,67.2,4.6,26.4,59.8,11.4,49.5,58.4,46.1,144.2,285.1,40.4
89,1995,11,Tamil Nadu,Thanjavur,50.7,1.5,13.2,23.8,114.7,68.7,67.1,54.4,84.8,161.2,134,9.5
89,1996,11,Tamil Nadu,Thanjavur,7.6,0,0,80.4,22.6,100.4,27.5,172.2,172,130,195.8,428.7
89,1997,11,Tamil Nadu,Thanjavur,45.6,32.8,37,51.5,87.7,36,108.2,19.2,126.9,200.8,422.8,259.3
89,1998,11,Tamil Nadu,Thanjavur,2.2,1,0,1.3,89.5,12.9,51.2,154.9,132.4,76,271.8,295.9
89,1999,11,Tamil Nadu,Thanjavur,0,22.2,0,46.9,46.5,4.2,11.7,91.9,38.2,205,314.1,43.4
89,2000,11,Tamil Nadu,Thanjavur,66.8,83.7,1.6,25.3,55.6,6.1,7.5,40.6,160.9,125.7,312,188.2
89,2001,11,Tamil Nadu,Thanjavur,4.9,6.6,0,63.6,63.3,14.4,70.6,48.8,130,162.9,173.6,113.3
89,2002,11,Tamil Nadu,Thanjavur,12,195,0,7.9,60.9,89.7,33.8,23.4,46.1,313.2,93.6,50.6
89,2003,11,Tamil Nadu,Thanjavur,0,0,4.4,23.8,37.9,30.1,75.1,219.3,39.8,167.1,285.2,11.1
89,2004,11,Tamil Nadu,Thanjavur,3.9,0.1,1.8,8.7,301.1,16.1,46.4,57.2,234.7,394.7,223.7,20.9
